EP01: IN
EP01: 本当に平気 | 真的不要紧吗
EP05: あくまで非正規品なんです | 说白了只是三无产品
EP05: 信頼できるバイオハッカーから　融通してもらっていますけれど | 虽然是从信得过的生物黑客那里入手的
EP05: 医療用とはいえ　体質に合わないこともあるんですから | 说是医疗品 但也会有不适应个别体质的情况
EP05: なんともないよ | 我没什么事
EP05: 副作用はないみたい | 好像没有副作用
EP05: できれば　もう少し続けたいんだけれど | 条件允许的话 我还想继续使用
EP05: 誘拐事件のPTSDが　そう簡単に解消するとは思えませんけど | 绑架带来的PTSD应该不会这么简单就消失
EP05: 本来なら病院に行くべきなんですよ | 本来应该让你去医院看看的
EP05: いろいろ　しがらみもあるし | 我也有很多不便之处
EP05: 体調が悪いことを知られたら　ルークラフト補助官に迷惑がかかる | 要是知道我身体不适 路克拉福特辅助官又会操心
EP05: だから… | 所以…
EP05: 私もそう思って協力してるんです | 我也是这么想才帮你的
EP05: すみません　父が帰ってきたみたい | 不好意思 爸爸好像回来了
EP05: カートリッジの追加分は来週までに送りますから | 我会在下周前把追加的医疗匣给你送过去
EP05: ありがとう　ビガ | 谢谢你 比加
EP05: これも民間協力者としての私の仕事です | 这也是我作为民间协助者的本分
EP05: なんて | 开个玩笑
EP05: 今度　そっちに行ったら　おいしいものをごちそうしてくださいね | 下次去你那里的时候 要请我吃好吃的哦
EP05: おかえりなさい　お父さん | 欢迎回家 爸爸
EP05: 私が知っていることを補助官に気づかれちゃ駄目だ | 不能让辅助官发现我知道实情
EP05: 表情を読まれないためにはこれを使うしかない | 为了不被看出来 只能靠这个了
EP05: 「知覚犯罪事件」の捜査機密が流出した | 「知觉犯罪事件」的搜查机密泄露了
EP05: 昨日　匿名掲示板「TEN」に書き込みがあった | 昨天 匿名论坛「TEN」上发布了一篇帖子
EP05: 「知覚犯罪事件の容疑者　イライアス・テイラーは」 | 「知觉犯罪事件的嫌疑人伊莱亚斯·泰勒」
EP05: 「ユア・フォルマを使って　人々の思考を操作している」 | 「使用YOUR FORMA操纵人们的思考」
EP05: 「電子犯罪捜査局はこの事実を知ったが隠蔽した」 | 「电子犯罪搜查局明知此事却没有公开」
EP05: 「敵は強大だ」 | 「敌人很棘手」
EP05: 「しかし　諸君らの知恵は必ず勝利をもたらす」 | 「不过 你们的智慧一定会带来胜利」
EP05: 言うまでもないけれど　これは重要秘匿案件よ | 或许没必要强调 但这是重大机密案件
EP05: 捜査資料は本部の保管庫で　厳重に管理されているから | 搜查资料被严格保管在本部的保管库里
EP05: 盗み出された可能性は低い | 被窃取的可能性很低
EP05: かといって　あなたたち全員を容疑者として電索にかけるのは　あまり賢くない | 话是这么说 将在座各位都视为嫌疑人进行电索也非上策
EP05: 理由はこれ | 理由在这里
EP05: E | E
EP05: うちでは有名人ね | 这位可是咱们的名人
EP05: 度々　捜査線に浮上してくる | 时不时就能查到他的蛛丝马迹
EP05: 極めて悪質な陰謀論者 | 无可救药的阴谋论者
EP05: Eの投稿はユア・フォルマではなく | E发帖时没有使用YOUR FORMA
EP05: 端末を通じて　海外のサーバーを複数経由するか | 也许是通过终端 经由多个海外服务器转发
EP05: 第三者の端末を乗っ取っているため　追跡困難かと | 因为经过了第三方终端 所以很难追踪
EP05: ええ | 没错
EP05: 書き込みが始まったのは約１年半前 | 发帖是在约一年半前开始的
EP05: 当初は反テクノロジー主義者の妄想だと笑われ | 当时被人们嘲笑为反技术主义者的妄想
EP05: 特に注目もされていなかったけど | 没有受到过多关注
EP05: 今や　彼　もしくは彼女は | 但如今的他 抑或是她
EP05: 推定数千万人もの信奉者を抱えている | 却已坐拥多达千万名信徒
EP05: テクノロジーや　ユア・フォルマに否定的な考えを持つ者や | 多是对技术和YOUR FORMA抱有否定看法的人
EP05: 肯定的でないユーザーですね | 或是不太认可的用户吧
EP05: Eは陰謀論を投稿し　触発された信奉者たちが事実関係を調べる | E发布阴谋论 受到感召的信徒们开始调查事件
EP05: そして　Eに踊らされた信奉者たちが　犯罪に及ぶケースも目立っている | 而被E操纵的信徒们参与犯罪的情况也不容小觑
EP05: 今回の書き込みに関して　局内であっても | 关于这篇帖子 即使在局内
EP05: 決して事実と認めないように | 各位也要否定其真实性
EP05: 捜査資料は厳重に管理されています | 搜查资料的保管很严格
EP05: 信奉者たちがそこまでたどり着けるとは思えません | 我认为信徒们没有窃取资料的途径
EP05: それはそうだ | 确实如此
EP05: 電索官　そろそろ取調室に行きましょう | 电索官 该去审讯室了
EP05: ああ　うん | 嗯 好
EP05: 電索官　ゆうべはまた夜更かしを | 电索官 你昨晚又熬夜了吗
EP05: ここの白夜のせいか眠りが浅くて | 或许是极昼的缘故 最近睡眠都很浅
EP05: カーテンを買い足してはいかがです | 要不试试再买一层窗帘呢
EP05: 分厚いやつを探すよ | 那得买张厚实的
EP05: 電子ドラッグを国際的に売買していた容疑者たちです | 这些都是在国际上贩卖电子毒品的嫌疑人
EP05: 活動拠点にしていた別荘から押収した証拠品の中に　これがありました | 在他们用作据点的一幢别墅里搜出的证物中 发现了这个
EP05: 差出人の住所が書かれていませんが | 上面没有写寄件人的地址
EP05: 使われているのはマリアンヌの切手 | 但邮票是玛丽安娜的图案
EP05: つまり　フランスから送られたものです | 所以寄出地应该是在法国
EP05: 電索のヒントになりますね | 这情报对电索有帮助
EP05: 差出人の住所を見つけられるかもしれない | 说不定能找出寄件人的地址
EP05: 始めよう | 开始吧
EP05: 電索官 | 电索官
EP05: 救急車だ　救急車 | 快叫救护车 快
EP05: しっかり　エチカ | 振作点 埃缇卡
EP05: 根本的な情報処理能力の低下ですねえ | 是信息处理能力下降引起的
EP05: 低下といっても | 话是这么说
EP05: ヒエダさんの場合はこれでようやく一般人と同等の数値なんですが | 对你而言 其实也就是降回了一般人的水平
EP05: 意識を失ったのは一時的に脳の負担が増して | 短时间内大脑负担急剧增加
EP05: オーバーヒートしたからかと | 过热才导致晕倒的吧
EP05: 情報処理能力の低下の…原因は | 为什么信息处理能力…会下降
EP05: ストレス　精神的な影響など | 多半是压力等精神方面的因素
EP05: 電索官の方にこんなことを言うのも酷な話でしょうが | 对一名电索官说这样的话可能有些残酷
EP05: 元の数字に戻るというのは考えられませんので | 但回到原本水准的可能性非常渺茫
EP05: 転職も視野に入れられたほうが　いいかと思いますね | 我建议你做好需要转行的打算
EP05: トトキ課長はなんとおっしゃっていましたか | 十时科长怎么说
EP05: 先ほどの容疑者が　ユア・フォルマに細工を | 是嫌疑人对你的YOUR FORMA动了手脚吗
EP05: 容疑者は関係ないそうだ | 跟他们没关系
EP05: 単に　私の体調不良が原因だった | 单纯是我的身体状态不好
EP05: しかし　それだけで能力が低下するというのは | 但身体状况不佳就导致能力的下降
EP05: 論理的に無理がありますよ | 理论上实在是说不过去
EP05: その　ダリヤさんが心配するね | 太晚了 达莉雅会担心的
EP05: 早く君を帰さないと | 你还是早些回去吧
EP05: 捜査が長引いて遅くなると連絡してあります | 我跟她说过在参与搜查 会晚些回去了
EP05: ご自宅までお送りしますよ | 我送你回家吧
EP05: ありがとう | 谢谢你
EP05: でも　タクシーで帰るよ | 但我还是打车吧
EP05: 電索官　どうか私を頼ってください | 电索官 请让我帮忙吧
EP05: 君は十分　良くしてくれた | 你已经帮我很多了
EP05: パートナーを放り出すわけにはいきません | 我怎么能扔下搭档不管呢
EP05: 電索官 | 电索官
EP05: ルークラフト補助官 | 路克拉福特辅助官
EP05: 私は電索官としての任を解かれ　配属替えになる | 我已经被卸任电索官 等待重新分配职务了
EP05: 君はもう　私のパートナーじゃない | 你已经不是我的搭档了
EP05: 最近ヒエダに変わったことはなかった | 最近冰枝表现有什么不对吗
EP05: 強いて挙げるなら　例の事件以来 | 硬要说的话 那件事以来
EP05: 少し態度が丸くなったぐらいでしょうか | 她接人待物稍微圆滑了一些
EP05: そう | 这样啊
EP05: 人間の場合　一度数値が落ちてしまうと　元には戻らないそうですね | 好像说人类的能力值下降之后 就很难恢复原样了
EP05: そうね | 是啊
EP05: 情報処理能力に関しては　治療法がないから | 我们没有能恢复信息处理能力的方法
EP05: 捜査局の方針では | 我们搜查局的政策
EP05: 能力を失った電索官は　適正に応じて別の部署に異動させることになる | 会安排失去能力的电索官转到另一个适合的部门
EP05: ヒエダも　恐らくはそうなるでしょう | 冰枝应该也会这样吧
EP05: では　私はどうなるのでしょう | 那我该怎么办呢
EP05: あなたには　電子ドラッグの国際売買ルートを引き続き追ってもらうわ | 我希望你能继续追查电子毒品的国际贸易链
EP05: 別の電索官とね | 和别的电索官一起
EP05: 別の？ | 别的？
EP05: 安心して | 不用担心
EP05: 新しい電索官も　とても優秀だから | 新的电索官也很优秀
EP05: もちろん　ヒエダには及ばないでしょうけれど | 当然了 多半还是比不上冰枝
EP05: あなたの演算処理能力が無駄になることはない | 你的计算处理能力不会被浪费的
EP05: その電索官は　いつこちらに | 新的电索官什么时候来
EP05: ライザ・ロバン電索官よ　あなたの新しいパートナー | 这位是你的新搭档 莱莎·罗宾电索官
EP05: あなたみたいに素敵なアミクスは初めて見るわ | 我还是第一次见你这么漂亮的AMICUS
EP05: はじめまして　ロバン電索官 | 很高兴见到你 罗宾电索官
EP05: ハロルド・ルークラフト補助官です | 我是哈罗德·路克拉福特辅助官
EP05: ライザでいいわ　ハロルド | 叫我莱莎就好 哈罗德
EP05: ライザ　あなたも並列処理が可能なのですね | 莱莎 你也能够进行并行处理吧
EP05: ええ　情報処理能力が向上して　つい最近できるようになったの | 嗯 最近我的情报处理能力提升后 刚刚学会的
EP05: まだ不慣れなんだけれど | 还有一些生疏
EP05: 能力は低下だけでなく　向上することもあるのですか | 能力不止会下降 还可以提升的吗
EP05: ごくまれにらしいわ | 这应该十分罕见
EP05: 私も　自分がそういう体質だって知らなかったから | 我之前也不知道自己有这样的体质
EP05: びっくりしてる | 我也很惊讶呢
EP05: ヒエダ電索官のことはお気の毒ね | 冰枝电索官的事 我很遗憾
EP05: 天才だと思っていたのに | 她是一个天才
EP05: 面識がありましたか | 你认识她吗
EP05: 本部で何度かすれ違ったくらい | 只是在本部见过几次面
EP05: 電索官で彼女を知らない人はいないわよ | 干电索官这行就没有不认识她的
EP05: まあ　あっちは私のことなんて　全然知らないでしょうけど | 不过 她对我应该完全没什么印象就是了
EP05: じゃあ　始めましょうか | 好了 我们开始吧
EP05: アミクスと潜ることにご不安は | 你不担心和AMICUS协作吗
EP05: 全然ないわ　むしろ光栄よ | 完全不担心 甚至很荣幸
EP05: 私としても非常に嬉しいお言葉です | 很高兴你能这么说
EP05: では　ライザいつでもどうぞ | 你准备好就开始吧 莱莎
EP05: ライザ　大丈夫ですか | 你还好吗 莱莎
EP05: ああ　ごめんなさい | 啊 抱歉
EP05: いつもこうなの | 老毛病了
EP05: 主治医からは　処理能力が向上し続けている副作用みたいなものだって言われていて | 医生说这是处理能力提升时期 一种类似副作用的症状
EP05: 少し逆流の兆候がありましたが | 虽然有一些逆流的征兆
EP05: 影響もありませんね | 没造成实际影响吧
EP05: ええ　それもよくあることだから | 没 这也是常有的情况了
EP05: 転ばせたってよかったのよ | 可以不用扶着我
EP05: あなたが転ぶのをただ眺めているのは　極めて難しいでしょう | 怎么能眼睁睁地看着女士摔倒呢
EP05: 紳士ね | 你真绅士
EP05: 容疑者たちの仲間が　パリに拠点を持っているみたい | 嫌疑人的同伙似乎在巴黎有一处据点
EP05: 本部に戻ることになりそうだわ | 看来要回总部了
EP05: 母国にとんぼ返りとはお忙しい | 刚到就又要回国了 可真是忙啊
EP05: 私　フランス人だってあなたに言ったかしら | 我有告诉过你我是法国人吗
EP05: お名前はもちろん　顔立ちや発音でわかりますよ | 名字自不用说 从长相和发音也能看得出来
EP05: ご自宅のアミクスは女性モデルですよね | 你家里的AMICUS是女性型号对吧
EP05: 休みの日は一緒に散歩を楽しんでいる | 你喜欢在休息日和她一起散步
EP05: 課長から聞いていたけれど　本当にいろんなことがわかるのね | 虽然听科长说过 没想到你真的很擅长推理呢
EP05: もちろん　全ては把握できません | 能看出来的事情也是有限的
EP05: この程度が限界です | 这些就是全部了
EP05: だとしてもすごいわ　素敵よ | 即便如此也很厉害了 真棒
EP05: セドフ捜査官　そんなオムレツくらい　家でも作れるだろ | 谢多夫搜查官 煎蛋卷这东西自己在家就能做吧
EP05: 健康アプリが　今ここでこれを食えと言っているんだ | 健康APP让我现在就在这吃
EP05: 出たよ　毎日　ユア・フォルマの言いなりだな | 出现了 每天都照着YOUR FORMA指示过活的人
EP05: ちなみにお前が食おうとしている　そのパンケーキのカロリーだが… | 顺便一提 你现在准备吃的这份松饼的卡路里…
EP05: おい　よせ　人の朝飯を台無しにするな | 住嘴 不要把别人的早饭给毁了
EP05: 本当にそれだけでいいのか | 你真的只喝咖啡吗
EP05: ヒエダ電索…捜査官 | 冰枝电索…搜查官
EP05: 張り込み中ですよ | 我们在盯梢呢
EP05: のんきに食べていられません | 没时间悠闲地吃东西
EP05: お前にも彼女くらいの緊張感が必要だろうな | 你要是有她一半认真就好了
EP05: 堂々とオムレツを食ってるあんたに言われたくないな | 大口吃着煎蛋卷的家伙有资格说我吗
EP05: 健康アプリを信じてる | 我相信健康APP
EP05: こいつは誰より俺のことをわかってるよ | 它比谁都更了解我
EP05: だがEに言わせればこうだ | 但换作E就会这么说
EP05: 健康アプリの運営元とこの店はひそかに共謀している | 健康APP的运营方和这家店私底下有合作
EP05: 陰謀論ですらないな | 你这连阴谋论都算不上
EP05: レストランは慈善事業じゃないんだ | 餐厅又不是做慈善的
EP05: それなりの癒着はあるさ | 自然会有商业上的关系
EP05: 信奉者たちにとっては関係がない | 信徒们可不关心这些
EP05: 自分たちの不満をぶつけられるもっともらしい理由があれば　それでいい | 只要有看似正当的理由来供他们发泄不满就够了
EP05: ヒエダはここで待機だ | 冰枝在这里待命
EP05: 他の信奉者がやって来たら連絡を | 如果发现其他信徒就通知我们
EP05: わかりました | 我知道了
EP05: まだ半分以上残ってるってのにな | 我还剩一大半没吃完呢
EP05: って　お前　絶対太るぞ | 你小子绝对会胖的
EP05: ああ　そうなの | 哦 这样吗
EP05: 大変だったのよ | 真的很离谱
EP05: すみません | 不好意思
EP05: 「ユア・フォルマ非搭載者です」 | 「对方未搭载YOUR FORMA」
EP05: 「パーソナルデータを表示できません」 | 「无法显示个人档案」
EP05: 電子犯罪捜査局です | 我是电子犯罪搜查局的
EP05: 何か身分を… | 请出示身份…
EP05: あら　そうなの | 哎呀 是这样的吗
EP05: はい　ご覧になってみてはいかがですか | 是的 你要看看吗
EP05: そうね | 好啊
EP05: 失礼 | 不好意思
EP05: 斬新ですね | 真是新奇呢
EP05: コーヒーの香水ですか | 是咖啡味的香水吗
EP05: ちょっとした事故だよ | 遇到了一点小意外
EP05: シャワーを浴びに行くところだ | 正准备去洗澡
EP05: どうして何度もかけているのに　私の電話に出てくださらないのです | 我打了很多电话 为什么你都不接
EP05: その　君なら見透かしていると思った | 就是 我觉得你都看穿了
EP05: いつもどおりなんでも | 和往常一样看穿一切
EP05: 以前も申し上げたとおり　あなたに関しては頻繁に推測を外しますので | 我以前也说过 关于你的推理我很少有中的时候
EP05: 無視してごめん　怒らせたのなら | 抱歉我无视你 让你生气了
EP05: 怒ってはいません | 我没有生气
EP05: 我々は敬愛規律に基づき | 根据敬爱规范
EP05: いつでもあなた方を尊敬しています | 我一直都尊敬着你们
EP05: あの　新しい電索官とはうまくやっているの | 那个 你和新的电索官相处得怎么样
EP05: さっきの人？ | 就是刚刚那位？
EP05: ええ　おかげさまで | 对 相处得不错
EP05: ライザ・ロバン電索官です | 她叫莱莎·罗宾
EP05: 私もうまくやっている　支援課でね | 我在支援科干着也挺顺利
EP05: みんな親切だよ | 大家都很好相处
EP05: 何よりです | 那真是太好了
EP05: 私は明日から　ライザとフランスに行きます | 我明天就要和莱莎一起去法国了
EP05: リヨンの本部に？ | 去里昂的总部？
EP05: そう | 是吗
EP05: なんで　私にそんなことを話す | 为什么要告诉我这些
EP05: 確かに　もうあなたに報告する必要はありませんでした | 确实 已经没有必要向你报告了
EP05: そのとおりだ | 正是如此
EP05: その　とにかく頑張って | 那什么 总之加油干吧
EP05: じゃあ | 再见
EP05: ヒエダ電索官 | 冰枝电索官
EP05: もう電索官じゃない | 我已经不是电索官了
EP05: シャワーまでついてくるつもり | 你准备跟着我进浴室吗
EP05: あなたは　私と対等なパートナーでいたいとおっしゃいました | 你曾经 说过希望成为和我对等的伙伴
EP05: 電索能力を失うほど何かに悩んでいらっしゃるのなら | 如果有什么事情让你烦恼到甚至失去了电索能力
EP05: どうして相談してくださらなかったのです | 为什么不来和我商量
EP05: 隠していない | 我没有隐瞒
EP05: 君に　ちゃんと説明しなかったのは私の落ち度だ | 没有和你说清楚是我的问题
EP05: ごめん | 抱歉
EP05: ただ本当に　何も悩んでなんかいない | 只是真的 没什么事情让我烦恼
EP05: でも別に　パートナーが私じゃなくても　君にとって支障はないはずだ | 不过 伙伴哪怕不是我 对你来说也没什么问题吧
EP05: ロバン電索官は優秀なんだろうし | 罗宾电索官想必也很优秀
EP05: だったら　君の目的にも見合う | 那她也能帮你实现你的目的
EP05: 目的？ | 目的？
EP05: 彼女と一緒にやっていれば　今度こそ | 能和她做搭档的话 说不定
EP05: ソゾン刑事を殺した犯人を見つけられるかも | 就能找到杀害索颂警官的凶手了
EP05: 誰から　それを | 那是听谁说的
EP05: 私はソゾンを殺した犯人を見つけるために　あなたの補助官を引き受けたとは | 为了寻找杀害索颂的凶手而担任你的辅助官
EP05: ひと言も言っていません | 这话我从没说过
EP05: ダリヤさんから直接聞いた | 达莉雅亲口告诉我的
EP05: もう半年以上も前だ | 大概半年多以前
EP05: いろいろと迷惑をかけてごめん | 抱歉给你添了这么多麻烦
EP05: 君には感謝している | 我很感谢你
EP05: 今までありがとう | 一直以来谢谢了
EP05: ソゾン刑事の事件が解決することを願ってるよ | 愿索颂警官的案子能早日得到解决
EP05: じゃあ | 再见
EP05: Eは　機械否定派の中にもコミュニティーを持っているのか | 机械否定派里也有E的社群吗
EP05: ノルウェーのオスロから来たそうだ | 听说他是从挪威的奥斯陆来的
EP05: 高校を卒業したばかり | 刚刚高中毕业
EP05: 店にいた他の２人とも無関係だったよ | 和店里的另外两人此前也不认识
EP05: そうですか | 是吗
EP05: 僕は正しいことをしようとしただけだ | 我只是在做正确的事
EP05: なんの罪もないレストランの店員を襲おうとすることがか | 袭击无辜的餐厅店员就是你口中正确的事吗
EP05: 奴らは悪人だ | 那群家伙都是恶人
EP05: Ｅは全部知ってる | E知晓着一切
EP05: Ｅが間違っているかもしれない | E也有可能是错的
EP05: いや　ユア・フォルマは全部を台無しにしてる | 不可能 YOUR FORMA毁了这一切
EP05: あの糸を縫い込むかどうかは個人の自由だっていわれている | 说什么要不要植入是个人的自由
EP05: なのに　実際は | 可是 事实上呢
EP05: 僕らみたいな否定派は　就職することだってできない | 像我们这种否定派 连就业的机会都没有
EP05: Eは正しい | E是正确的
EP05: 地元にも仲間はたくさんいるんだ | 在我们那里也有很多同伴
EP05: そいつらをぜひ紹介してもらいたいな | 真想认识认识你的那些同伴
EP05: これ以上話すことはない | 我不会再说一句话了
EP05: あんたらは僕を電索できない | 反正你们也没法对我用电索
EP05: 仲間と言っている以上 | 既然都提到同伴了
EP05: オスロには大規模なコミュニティーがあるとみていいように思います | 我们最好假设奥斯陆存在大规模的社群
EP05: あいにく　あっちには支局すらない | 不凑巧的是那边连分局都没有
EP05: 地元警察の腰が重くないことを願いたいが | 只能希望当地的警察能尽快行动了
EP05: それ以外にも当てがあるかもしれません | 或许还有除此之外的办法
EP05: ヒエダさんのトラウマ　カートリッジでも補えなかったんですね | 医疗匣也没能治愈冰枝小姐的精神损伤呢
EP05: まあ　その… | 是啊 不过…
EP05: 処理能力が低下して　支援課に異動になったなんて | 还因为处理能力下降被调到了支援科
EP05: それで　ハロルドさんが一緒じゃなかったんですね | 所以才没有跟哈罗德在一起是吗
EP05: ハロルドさんはどう思っているんですか | 哈罗德对此是怎么想的呢
EP05: ええと… | 那个…
EP05: 新しい電索官とうまくやっているようだよ | 看样子应该和新任电索官配合得很好
EP05: すごくきれいな | 电索官人也很漂亮
EP05: なんですか　それ | 你说什么
EP05: とぼけないでください | 请不要装糊涂
EP05: 私　気づいているんですからね | 我可是看得很清楚
EP05: ヒエダさん　ハロルドさんのこと結構気に入ってるって | 冰枝小姐其实还挺喜欢哈罗德的
EP05: ちょ…ビガ | 不要这样…比加
EP05: ヒエダさんはどうしたいんですか | 冰枝小姐想要怎么做呢
EP05: どうしたい？ | 怎么做？
EP05: もし　電索官に戻れるなら | 如果 还能做回电索官的话
EP05: また　ハロルドさんと一緒に仕事をしたいですか | 你还愿意和哈罗德一起工作吗
EP05: 回復したら… | 能恢复的话…
EP05: 処理能力は不可逆で | 处理能力的下降是不可逆的
EP05: 治せるとしたら | 要是能治好呢
EP05: バイオハッキングの中には　情報処理能力をいじる技術があるみたいなんです | 听说生物黑客里 有掌握了调整情报处理能力这项技术的人
EP05: 私は詳しくないんですけど　でも調べれば… | 我也不是很清楚 但只要花时间查…
EP05: 心配してくれる気持ちは嬉しい | 你的担心我心领了
EP05: ありがとう | 谢谢你
EP05: いいえ | 客气了
EP05: 私　バイオハッカーとしてはまだ半人前なんです | 我作为生物黑客还只是个半吊子
EP05: だから　本当に多分　カートリッジぐらいでしかヒエダさんの役に立てなくて | 所以 大概除了提供医疗匣外 实在是帮不上什么忙
EP05: そんなことは… | 没有那回事…
EP05: それに最近　父は何も教えてくれなくなってしまって | 而且最近 父亲也不再教我任何东西了
EP05: どうして | 为什么
EP05: 従姉妹のクラーラのことがあったから | 是表妹克拉拉的事情
EP05: クラーラにチップを入れたのは　力になってあげたいと思った私の独断で | 因为想要帮她而自作主张给她植入了芯片
EP05: でも　それが　彼女のバレリーナとしての未来を閉ざしてしまった | 但却因此 断送了她芭蕾演员的前程
EP05: 父にも叱られて | 还被父亲骂了
EP05: なのに私　今もヒエダさんに治せるかもしれないなんて言っちゃいました | 而如今 我又说出要治好冰枝这种话
EP05: 同じことを繰り返すところでした | 差点又要重蹈覆辙了
EP05: 本当　馬鹿ですよね | 我真是个笨蛋
EP05: 誰かの力になってあげたいと思っても | 就算想要为他人做些什么
EP05: 結局こういうことしか知らないんだから | 到最后也只知道这一种方式
EP05: #假面
EP05: #注：创伤后应激障碍（PTSD），因遭受创伤事件而引发的心理疾病
EP05: #注：法国的象征，自由与理性的拟人表现
EP05: #敬爱规范
EP05: #尊重人类
EP05: #听从人类的命令
EP05: #绝对不能攻击人类
EP05: #今日最高气温: 23℃
EP05: #着装指数D
EP05: #白天推荐穿着薄衬衫
EP05: #睡眠质量得分 65
EP05: #略微睡眠不足
EP05: #国际电话线路
EP05: #比加
EP05: #电子犯罪搜查局圣彼得堡支局
EP05: #英国珠宝行业分销通过勒德分子强迫劳动开采出的彩色宝石。
EP05: #感谢上帝的恩赐，让我得以揭露真相。
EP05: #去探明真相吧
EP05: #莫斯科 阿尔巴特步行街
EP05: #电子犯罪搜查局圣彼得堡分局
EP05: #搜查支援科
EP05: #伊万·卢基奇·福金搜查官
EP05: #电子犯罪搜查局圣彼得堡分局
EP05: #搜查支援科
EP05: #日耳曼·马科维奇·谢多夫搜查官
EP05: OUT

EP06: IN
EP06: 機械仕掛けの友人　アミクス・ロボット | 机械朋友 AMICUS·ROBOT
EP06: 人型ロボットの総称 | 人型机器的统称
EP06: アミクスには敬愛規律が刷り込まれている | 所有的AMICUS都写入了敬爱规范
EP06: 人間を尊敬し | 尊重人类
EP06: 人間の命令を素直に聞き | 听从人类的命令
EP06: 人間を絶対に攻撃しない | 绝对不能攻击人类
EP06: 今送ったのが　Eの信奉者が集まるというバーの情報です | 现在发给你E的信徒们聚集的酒吧资料
EP06: わかった　現地で落ち合おう | 知道了 就在那里碰头吧
EP06: ワッフル食べたりして　寄り道しないでくださいね | 你可别又绕路去吃华夫饼啊
EP06: もう食べたよ | 已经吃过了
EP06: じゃあ　あとでな | 回头见
EP06: 何十件も聞き込みしたかいがありましたね | 真是不枉我们打听了几十趟
EP06: ビガがラッダイトとユア・フォルマユーザーの共生店舗を教えてくれたおかげだ | 多亏你找出了勒德分子和YOUR FORMA用户共同运营的店铺
EP06: 情報どおり　ですね | 真是不出所料呢
EP06: フォーキン捜査官たちは渋滞にはまって… | 福金搜查官他们堵在路上了…
EP06: やっぱりすげえな　E | E还真是不一般啊
EP06: 政府は信用ならないわ | 我才不相信政府
EP06: Eに一生ついていくつもりよ | 我这辈子都打算追随E了
EP06: Eは慈善家の大富豪だって噂だぜ | 有传言说E可是大富豪慈善家
EP06: そうなの | 是吗
EP06: だから　いろんな薬を用意できるんだね | 怪不得能准备那么多药
EP06: ビガ　どこに | 比加 你在哪里
EP06: 電犯局なんてクソだな | 电犯局就是一群混账
EP06: 真実を隠蔽しているんだ | 他们在隐藏真相
EP06: 全ての真実を明らかにせよ | 我们要让一切大白于天下
EP06: 見たか　奥に使者様が来ていたぞ | 看见了吗 使者大人到里面去了
EP06: 使者様？ | 使者大人？
EP06: ビガ　何を | 比加 你在干什么
EP06: 使者様　頂いた薬のおかげで　母の具合も良くなりました | 使者大人 多亏您给我的药 母亲的身体好多了
EP06: ユア・フォルマの電波は　めまいを誘発しますからね | 毕竟YOUR FORMA的电波会导致晕眩
EP06: Eはいつでも　あなた方の味方です | E永远与你们同在
EP06: 何かあれば　またご相談ください | 要是还有问题 可以再来找我商量
EP06: はい　ありがとうございます | 好 感激不尽
EP06: あれが使者様 | 那就是使者大人
EP06: 話を聞く必要がありそうだ | 看来有必要找他问问话
EP06: Eと繋がりがあるかもしれない | 他说不定和E有联系
EP06: 繋がりはないはずです | 他们应该没关系
EP06: どうして | 为什么
EP06: だって　私の父ですから | 因为 他是我爸爸
EP06: ここに入っていく父が見えて | 我看见爸爸往这里面走
EP06: 人違いだったらいいと思ったのに | 我拼命祈祷希望是认错人了
EP06: とにかく　外に出て　フォーキン捜査官たちを待とう | 总之先出去 等福金搜查官他们来了再说吧
EP06: どういうこと　お父さん | 怎么回事 爸爸
EP06: ビガ | 比加
EP06: 依頼者の往診に行くって言ったのに | 你说你受托出诊去了
EP06: まさか　お父さんもEの信奉者なの | 爸爸你不会也是E的信徒吧
EP06: お前こそ　どうしてここに | 你才是 为什么会在这里
EP06: おい　ダネル　まずいぞ | 喂 丹尼尔 情况不妙
EP06: 例の… | 之前的…
EP06: そうか　電索官に協力させられていたのか | 这样啊 电索官强迫你协助调查了吗
EP06: なんで　ヒエダさんのこと知ってるの | 你怎么知道冰枝小姐的事
EP06: もしかして　とっくに気づいて | 你不会早就发现了吧
EP06: 電犯局だ　その女を捕まえろ | 电犯局混进来了 快抓住那个女人
EP06: 最悪だ | 坏了
EP06: スパイか | 间谍吗
EP06: 例の電索官じゃないか | 这不是那位电索官吗
EP06: 人の心を操る悪魔め | 操纵人心的恶魔
EP06: 全員　そこを動くな | 所有人都不许动
EP06: 両手を頭の後ろに | 双手抱头
EP06: お前を責めるつもりはない | 我不会责怪你
EP06: 悪いのは　お前の優しさを利用した　あの電索官たちだ | 都是那些电索官利用了你善良的心
EP06: お父さん | 爸爸
EP06: 捜査局はEを追っているのか | 搜查局在追查E吗
EP06: 例の投稿のせいだろうな | 是因为之前那篇帖子吧
EP06: 図星を突かれて焦っているんだろう | 肯定是说中了他们才那么急
EP06: ビガ　Eは必ず私たちを救ってくれる | 比加 E一定会拯救我们的
EP06: お父さんはEの信奉者なの | 你也是E的信徒吗
EP06: これはある種の抗議なんだ | 这也算是一种示威
EP06: Eはユア・フォルマの闇を暴いてくれる | E会揭开YOUR FORMA的秘密
EP06: うまくいけば　バイオハッカーの仕事をせずに生活できる | 要是顺利的话 我们不做生物黑客也能正常地生活
