EP01: IN
EP01: 本当に平気 | 真的不要紧吗
EP03: 電索官　ひどい目に遭わせてばかりで | 电索官 我总是让你受苦
EP03: 本当にすみません | 真的很抱歉
EP03: 博士はなぜ　あなたの容姿をそのまま私に使用したのでしょう | 为什么博士会直接把你的样貌照搬到我身上呢
EP03: 通常は複数の人間を掛け合わせます | 一般来说都会混合多个人的样貌
EP03: まして私は　女王陛下への献上品です | 况且我还是送给女王陛下的献礼
EP03: 彼女は私のパーツの中で　顔が一番好きだとおっしゃいます | 她说过我全身上下的部件 这张脸是她最喜欢的
EP03: 何か関係がありますか | 这之间有什么关联吗
EP03: 黙ってくれないか | 你能闭嘴吗
EP03: リブ　なぜ… | 利伯 为什么…
EP03: ファーマンは　真実を主張していたんだ | 法曼他 一直都在主张事实
EP03: 「ハロルド・ルークラフトの…」 | 「将哈罗德·路克拉福特的…」
EP03: 「システムコードを解析してください」 | 「将他的系统代码进行分析」
EP03: 追いかけなきゃ | 我得追上去
EP03: 彼が補助官のシステムコードを解析しようとするなら | 如果想分析辅助官的系统代码的话
EP03: 間違いなく　あの場所へ行く | 他一定会去那里
EP03: 人工知能の研究所はどこ | 人工智能研究所在哪里
EP03: 「案内を開始します」 | 「开始导航」
EP03: 「およそ100メートル　直進してください」 | 「前方请直行约100米」
EP03: 「右に曲がってください」 | 「右转」
EP03: 「人工知能研究棟の入り口です」 | 「已到达人工智能研究楼入口」
EP03: #追踪
EP03: #注: 英国中南至西南部的一个法定特殊自然美景区
EP03: #注: 19世纪，英国纺织设计师、诗人、艺术家
EP03: #注: 持有反机械化以及反自动化观点的人
EP03: #敬爱规范
EP03: #尊重人类
EP03: #听从人类的命令
EP03: #绝对不能攻击人类
EP03: #沃伦·罗斯
EP03: #科茨沃尔德地区
EP03: #伦敦以西约140公里 拜伯里村
EP03: #柔软蓬松的绒面材质。拥抱Fluffy让人心情愉悦。科茨沃尔德独家产品。环保材质！
EP03: #尺寸与重量
EP03: #英寸　磅　%羊毛
EP03: #科茨沃尔德别墅区
EP03: #优雅生活
EP03: #当前位置
EP03: #开普勒庭院
EP03: #目的地
EP03: #人工智能研究室
EP03: #这棵树由启发艾萨克·牛顿发现万有引力那棵树嫁接而来
EP03: OUT

EP04: IN
EP04: 機械仕掛けの友人　アミクス・ロボット | 机械朋友 AMICUS·ROBOT
EP04: 人型ロボットの総称 | 人型机器的统称
EP04: アミクスには敬愛規律が刷り込まれている | 所有的AMICUS都写入了敬爱规范
EP04: 人間を尊敬し | 尊重人类
EP04: 人間の命令を素直に聞き | 听从人类的命令
EP04: 人間を絶対に攻撃しない | 绝对不能攻击人类
EP04: 見てくれ　エイダン | 快看 艾丹
EP04: もうほとんど完成したんだ | 马上就能完成了
EP04: ほら　例の企画書 | 就是之前提到的企划书
EP04: やっぱり　君は天才だな　レクシー | 你果然是天才啊 莱克希
EP04: 卒業してノワエ社に入ったら | 等毕业后进入诺华耶公司
EP04: なんとしてでもこのシステムを使って　アミクスを作りたいんだ | 哪怕困难重重 我也想应用这个系统制造AMICUS
EP04: その時は手伝ってよ | 到时候你要帮忙哦
EP04: もちろん | 当然
EP04: あと | 还有
EP04: もし　この規格でアミクスを作るなら | 如果有机会用它制造AMICUS
EP04: 君のアピアランスデータだけを使いたい | 我想只用你一个人的样貌数据
EP04: 僕をアミクスにして　こき使いたいって | 你是想把我做成AMICUS 方便你使唤吗
EP04: 君の顔は　私にとって一級品だ | 对我来说 你的样貌无与伦比
EP04: 断ってもいいかい | 我可以拒绝吗
EP04: 量産型にはしないよ　カスタマイズモデルだ | 数据不会用在量产型上 是定制型专用
EP04: この研究はずっと　私にとっては特別だった | 这项研究从始至终对我来说都是特别的
EP04: だから最後の最後まで　特別なものだけを使いたい | 所以有关它的一切 我都只想用最特别的
EP04: わかる | 理解了吗
EP04: 君は　私にとって一番特別なものなんだってこと | 对我来说 你就是最特别的
EP04: ハロルドの本当のシステムコードを世界に向けてアップロードする | 我要向世间公开哈罗德真正的系统代码
EP04: そうなったら　レクシー　君は投獄され | 这样一来 莱克希你就会被逮捕入狱
EP04: RFモデルは運用停止処分だ | RF型也会被停止使用
EP04: 自分の容姿を利用して　RFモデルの関係者を襲ったのも | 你利用自己的样貌袭击RF型相关人员
EP04: 私を誘拐して　ハロルドのシステムコードを暴こうとしたのも | 绑架我并企图公开哈罗德的系统代码
EP04: それが目的というわけか | 一切都是为了这个目的吗
EP04: 全て失敗したけどね | 可惜计划全失败了
EP04: だが　マーヴィンに拉致監禁されたおかげで | 不过多亏了马文绑架并监禁了我
EP04: 結果的にこうやってハロルドを直接解析することができた | 最后我还是得以像这样直接解析哈罗德
EP04: マーヴィンを川岸で死んだように見せかけたのは | 博士你在河边伪造马文的死
EP04: 彼の探索活動を阻止するためですか | 是为了中断对他的搜索吗
EP04: まあ　そりゃ　私がやったって気づくよね | 很容易注意到是我干的吧
EP04: だいぶ前に故障したマーヴィンを見つけたんだけど | 虽然我找到了很久以前就故障了的马文
EP04: ブラックボックスに問題が起きていて　私でも直せなかった | 但他的问题出在黑箱上 我也修不好
EP04: それで　ずっと　マーヴィンをあの別荘に隠してたんだ | 于是我一直把马文藏在那幢别墅里
EP04: 私は　愛する息子を手放したくなかった | 我不想放弃心爱的儿子
EP04: 愛する息子 | 心爱的儿子
EP04: 首を斬っておいてよく言う | 把头都给砍了 还有脸说
EP04: アミクスにとって大切なのはここだからね | 毕竟对AMICUS来说最重要的就是这里
EP04: 私はあれを守ったんだ | 而我为他保住了
EP04: あなたはマーヴィンの頭を　リブの体と繋ぎ合わせた | 你把马文的头接在了利伯的身体上
EP04: すごいだろう | 不错吧
EP04: 一か八かでいくつかのシステムコードに改造を加えてみたら | 毕竟我只是抱着试试的想法改了几处系统代码
EP04: 本当に動いたんだから | 没想到真的动起来了
EP04: つまりあなたは　ファーマンがRFモデル関係者連続襲撃事件の犯人だと | 也就是说 法曼是RF型相关人员连环袭击案的犯人这件事
EP04: 最初から気づいていた | 你从一开始就注意到了
EP04: 警備アミクスの運転モジュールを改造し | 你改造了警卫AMICUS的驾驶模块
EP04: ファーマンを逃走させ | 让法曼逃走
EP04: マーヴィンに彼をさらわせ | 命令马文绑走他
EP04: 監禁させて　機憶を工作しようとした | 监禁他 还企图篡改他的机忆
EP04: なんの機憶を書き換えようと | 你到底想伪造什么
EP04: これだ | 是这个
EP04: ハロルドのシステムコード | 哈罗德的系统代码
EP04: ヒエダ電索官　レクシーには君の知らない罪がある | 冰枝电索官 莱克希犯下的罪远不止这些
EP04: このコードにはRFモデルの秘密が書かれている | 这段代码里藏着RF型的秘密
EP04: RFモデルの　秘密？ | RF型的秘密？
EP04: レクシー　全てを電索官に打ち明けろ | 莱克希 向电索官坦白一切吧
EP04: さもないと　君の脳みそをここで撃ち抜く | 不然的话 我就在这里射穿你的脑袋
EP04: ファーマン | 法曼
EP04: ああ　わかったよ | 我知道了
EP04: でも　きっと後悔するのは君のほうだよ | 不过 到时后悔的一定是你
EP04: 神経模倣システムっていうんだ | 仿生神经系统
EP04: ユア・フォルマが普及したことでさ | YOUR FORMA刚普及时
EP04: 人間の脳の神経回路がかなり解明されたでしょ | 人类大脑的神经回路几乎已经被解析透彻了对吧
EP04: カレッジでも　その応用を研究しようとしたけど失敗 | 学院也在研究相关的应用 不过都失败了
EP04: 話自体も立ち消えた | 课题也淡出了人们视野
EP04: 学生の頃　私が掘り起こすまではね | 直到我上学时 才把它重新挖出来
EP04: ノワエ社に入った時には　私の研究はすでに完成していた | 就职诺华耶公司的时候 我的研究就已经完成了
EP04: あとは　必要とされる時を待つだけだった | 之后只需静待良机
EP04: それが　女王陛下の即位60周年記念式典での | 那就是在女王陛下即位60周年纪念仪式上
EP04: ノワエ社によるアミクス献上だ | 诺华耶公司献上的AMICUS
EP04: 女王陛下に献上されるアミクスは　技術の結晶でなければいけない | 献给女王陛下的AMICUS必须得是尖端技术的结晶
EP04: だから　私はRFモデルを「次世代型汎用人工知能」と銘打つことにした | 所以 我将RF型冠以「次世代通用人工智能」之名
EP04: 量産型アミクスとは　そもそもの思考プロセスが異なる存在 | 它们的思考过程和量产型的AMICUS有着根本的区别
EP04: 人間の脳と類似した神経回路　神経模倣システムを併せ持つ | 搭载了近似于人脑的神经回路 仿生神经系统
EP04: 全く新しい機械 | 一种全新的机器人
EP04: それが… | 那就是…
EP04: RFモデル | RF型
EP04: 私は　誰にも作れなかったものを実現してみせたんだよ | 我做出来的可是前所未有的东西
EP04: 反対したんだ | 我反对过她
EP04: ブラックボックスの範囲があまりに大きすぎる | 黑箱范围实在太大了
EP04: だが　レクシーは聞き入れてくれなかった | 但莱克西没有听取我的意见
EP04: だから僕は　開発室を去ることにした | 所以我离开了开发组
EP04: そうすれば　開発に大穴が開く | 这样一来 研发就会受阻
EP04: 彼女に方針転換を迫ることができるかもしれないと | 或许能迫使她转变自己的研发方向
EP04: だが | 然而
EP04: その後　RFモデルは国際倫理委員会の認可を得て　製造された | 不久后 RF型就获得了国际伦理委员会的许可 投入了生产
EP04: 博士は倫理委員会に嘘をついたということ | 也就是博士对伦理委员会说了谎
EP04: 委員会なんて　私から見れば無知な人間の集まりさ | 委员会那帮人 在我看来就是一群乌合之众
EP04: ダミーの企画書であっさりだませる | 一份假企划书就骗得他们团团转
EP04: 開発室のメンバーや　アンガス副室長たちも一緒に | 开发组的成员和安格斯副组长也参与了吗
EP04: いや　誰も知らない | 没 他们不知情
EP04: ダミーで本物のシステムを覆い隠すことぐらい造作もない | 用一个仿制系统替换真正的系统 简直易如反掌
EP04: ただ　アンガスたちと違って | 不过 和安格斯他们不同
EP04: エイダンは神経模倣システムを理解していた | 艾丹的确理解了仿生神经系统
EP04: だからこうやって　本当のコードを引き出せてしまった | 所以他才能像现在这样 提取出真正的代码
EP04: 開発が始まるまで君は | 在刚开始研发的时候
EP04: RFモデルの巨大なブラックボックスについて隠していただろう | 你隐瞒了RF型中存在的巨大黑箱吧
EP04: あんなものは背負いきれない | 我们负不起这样的责任
EP04: 僕はずっと後悔していた | 我一直深感后悔
EP04: いずれ人間社会を脅かすかもしれないアミクスを世に出してしまったことを | 竟然制造出了可能威胁整个人类社会的AMICUS
EP04: 何より　彼女を止められなかったことを | 尤其后悔我没能阻止她
EP04: レクシーに倫理を犯させてしまったことを | 让莱克西触碰了伦理的下限
EP04: 倫理？ | 伦理？
EP04: 君　そういうの大好きだよねえ | 你还真是喜欢这个词啊
EP04: 私は君とは違うんだ | 而我不一样
EP04: でも驚いたよ | 不过真是吓了我一跳
EP04: 別荘に様子を見に行ったら | 我去别墅检查时
EP04: マーヴィンは死んでいる上に　君が気絶していてさ | 发现马文已经死了 你也昏倒在一旁
EP04: しかも　エイダンはハロルドと一緒に姿を消していた | 艾丹和哈罗德也同时消失不见
EP04: そして　ここへ来た | 然后你就来了这里
EP04: 電索官も私と同じように推理したんだろう | 你的推理也得出了和我的一样结论吧
EP04: ハロルドのコードを引き出すには　大がかりな設備が必要だと | 要想提取出哈罗德的代码 需要借助大型设备
EP04: エイダン　昔は君も私と同じだと思ってたけど | 艾丹 我本以为你和我是一类人
EP04: 特別に生まれついたのは私だけだったらしい | 但到头来 生而特殊的好像只有我
EP04: 私は自ら思考することのできる全く新しい存在を作り出したんだ | 我创造出了能够自主思考的全新事物
EP04: 君とはやはり　もう二度とわかり合えないらしい | 看来我们不可能再互相理解了
EP04: わかり合いたかったの | 原来你想过要理解吗
EP04: エイダンは優しいからね | 你还真是温柔啊
EP04: 昔からずっとそうだ | 从过去到现在一点没变
EP04: 君のそういうところが好きだったな | 我很喜欢你这一点
EP04: だけどさ　かわいそうだと思わない | 不过 你就不觉得他可怜吗
EP04: ハロルドはなんの罪もないのに | 哈罗德又没做错什么
EP04: 君が余計なことをしたせいで　運用停止になるんだよ | 却因为你的一己之念 而被强制停机
EP04: エイダン　RFモデルは… | 艾丹 RF型…
EP04: ハロルドは私にとって本当に大事な子なんだ | 哈罗德是我非常珍爱的孩子
EP04: そのシステムコードだけは… | 所以把他的系统代码…
EP04: 返してよ | 还给我吧
EP04: 博士 | 博士
EP04: 電索官　アップロードしてくれ | 电索官 快上传数据
EP04: 消去するんだ | 快删掉
EP04: 君だって　ハロルドが停止されたら困るだろう | 你也不希望哈罗德被停机吧
EP04: 停止 | 停机
EP04: なんで僕の話を聞いてくれない | 为什么不愿意听我的
EP04: 君も同じなのか　電索官 | 你也和她一样吗 电索官
EP04: エイダン | 艾丹
EP04: 君は何もわかっていない | 你根本不懂
EP04: あれは確かに思考している | 他确实有自己的思考
EP04: だがその思考は　計算は… | 但他的思考 计算…
EP04: 底知れない闇だ | 都是无底的深渊
EP04: 到底僕たちが理解できるものじゃない | 我们绝对不可能理解他们
EP04: 私はもっと　君のことを理解しなくちゃいけないんだろうね | 我也应该更努力地去理解你吧
EP04: 君の心をのぞけたらいいのにとつくづく思うよ | 我时常会想 要是能直接窥探你的内心就好了
EP04: 電索で潜るみたいに | 就像电索时那样
EP04: 私もあなたに潜れたら　どんなにいいか | 我也多么希望能了解你的内心世界啊
EP04: システムコードは私が預かります | 我会保管他的系统代码
EP04: エイダン・ファーマン　ハロルドの傷害　誘拐容疑 | 艾丹·法曼 你涉嫌对哈罗德的故意伤害及绑架
EP04: 及び　RFモデル関係者連続襲撃事件の容疑者として | 同时参与了RF型相关人员连续袭击事件
EP04: あなたを逮捕します | 我将在此逮捕你
EP04: 嘘はもっとそれらしくつくものだ | 撒谎也该打一打草稿
EP04: 許してくれ | 原谅我
EP04: 後悔するのは　君のほうだって言っただろ | 说了嘛 会后悔的人是你
EP04: 博士… | 博士…
EP04: 機憶を消した | 我删除了他的机忆
EP04: RFモデルの秘密と　今のやりとりの機憶をね | 关于RF型的秘密 以及刚才的对话
EP04: 電索官　マーヴィンに罪はない | 电索官 马文没有犯罪
EP04: あれは　私に改造されて　君やハロルドを襲っただけだ | 是我对他进行了改造 他才会袭击你们
EP04: あれには　エイダンの監禁を邪魔するものを排除しろと教えたから | 因为我让他保证监禁艾丹 排除意外因素
EP04: つまり　スティーブとは違う | 所以他和史蒂夫的情况不一样
EP04: レクシー博士 | 莱克西博士
EP04: 私はあなたを　逮捕しなければなりません | 我必须得逮捕你
EP04: わかっているよ | 我知道
EP04: イタ… | 好痛…
EP04: レクシー博士 | 莱克希博士
EP04: なに | 干嘛
EP04: 神経模倣システムを持ったアミクスは | 具有仿生神经系统的AMICUS
EP04: 人間にそっくりな機械の脳を持ったRFモデルは | RF型搭载了和人类极其相似的机械大脑
EP04: 結局のところ人間とどう違うんですか | 说到底和人类有什么不同呢
EP04: 個性があって　成長するって　それはもう人間でしょう | 拥有个性 能够成长 这已经是人类了吧
EP04: 自分を安く見るのはやめなよ | 可别把自己看的那么廉价
EP04: 人間はそう簡単に作れないさ | 人类可不是那么简单就能造出来的
EP04: だったらルークラフト補助官は一体なんなんです | 那路克拉福特辅助官究竟算什么
EP04: 家族を愛し　大切な人を奪われたことを悲しんで | 他爱着家人 会因失去重要的人而感到悲伤
EP04: けれど機械の冷酷な面も持ち合わせている彼は… | 但同时又有着机械冷酷的一面…
EP04: わからない | 我不知道
EP04: 人間らしさを求めて作られたものが　人間に近づくとは限らない | 模仿人类制作出来的东西 并不一定就像人类
EP04: ヴィクター・フランケンシュタインだって　怪物を作りたかったわけじゃなかったんだよ | 就算是维克多·弗兰肯斯坦 也并非有意要创造出怪物
EP04: アミクスは電索できないから　思考を暴くことはできない | 无法对AMICUS用电索 自然也无法知道他们在想什么
EP04: 「私たちが何者かは君が決めればいい」 | 「我们是什么就由你来决定」
EP04: なんて　マーヴィンだったらそう言うかもしれないね | 换作马文 也许会这么说吧
EP04: レクシー博士　私は捜査官です | 莱克希博士 我是一名搜查官
EP04: 法に忠実でいなければなりません | 所以我必须遵守法律
EP04: ただ　私にはシステムコードが読めない | 但是 我看不懂这些系统代码
EP04: だから　神経模倣システムが実在しているのかどうかもわからない | 所以 我也不知道仿生神经系统究竟是真是假
EP04: ありがとう | 谢谢
EP04: 君ならきっと　ハロルドを守ってくれると思った | 我就知道你一定会保护哈罗德
EP04: ねえ　電索官 | 我说啊 电索官
EP04: 君がこれからもハロルドに補助官でいてほしいと思うなら | 如果你希望哈罗德接下来也继续当你的辅助官
EP04: 一つだけ話しておきたいことがある | 我有一件事想要告诉你
EP04: 敬愛規律ってなんだろうね | 敬爱规范究竟是什么呢
EP04: 人間を尊敬し | 尊重人类
EP04: 人間の命令を素直に聞き | 听从人类的命令
EP04: 人間を絶対に攻撃しない | 绝对不能攻击人类
EP04: でもさ　これって本当はおかしいんだ | 但是 这也太奇怪了
EP04: 量産型アミクスは　思考をしているように見せかけているだけだ | 量产型AMICUS 不过是假装自己在思考罢了
EP04: 人を攻撃するという概念さえも知らない存在が | 他们连攻击人类这一概念都不知道
EP04: どうやって敬愛規律を守るっていうんだ | 要怎么遵守敬爱规范呢
EP04: アミクスは人間らしさを追求して作られている | AMICUS是模仿人类制作出来的东西
EP04: でも　私たち人間がやることは善良なことばかりじゃない | 但是 我们人类也并非只做好事
EP04: だから　アミクスが暴走して人を襲うかもしれない | 所以 AMICUS可能会失控袭击人类
EP04: 反乱を起こすかもしれないなんて　みんな怖がって疑ってかかる | 民众也不由得担心 他们会引发叛乱
EP04: 量産型アミクスは　人間を攻撃するほど賢くなんかないのにね | 哪怕量产型AMICUS连产生攻击人类想法的智能都没有
EP04: アミクスは　敬愛規律によって拘束されている | AMICUS受到敬爱规范的约束
EP04: ユーザーにとっては　それだけで十分だ | 对用户来说 只要知道这点就够了
EP04: 何より　全てのアミクスは　自分に敬愛規律が搭載されていると教えられている | 而且 所有AMICUS都被告知自己体内写入了敬爱规范
EP04: 当然　RFモデルも例に漏れない | 自然 RF型也不例外
EP04: 一方で　RFモデルの神経模倣システムは　特別な思考プロセスを有している | 然而 RF型的仿生神经系统具有独特的思考过程
EP04: 加えて　深くて広いブラックボックスの範囲 | 再加上极广的黑箱范围
EP04: そろそろわかってきたんじゃない　君も | 你差不多也该明白了吧
EP04: 国際AI倫理委員会の審査基準は | 国际AI伦理委员会的审查标准
EP04: 敬愛規律を順守できないシステム構造を除外することだ | 只约束了无法遵守敬爱规范的系统设计
EP04: 敬愛規律を「搭載できない」システム構造とは言っていない | 而并非「无法搭载」敬爱规范的系统设计
EP04: 本当は　敬愛規律なんて初めから存在しない | 实际上 敬爱规范从一开始就不存在
EP04: 補助官　聞こえてる | 辅助官 能听见吗
EP04: 事件はあらかた片付いた　ということですね | 也就是说 事件基本已经解决了对吧
EP04: ここがイングランドで幸いでした | 幸好这是在英国
EP04: パーツを取り寄せずに済みます | 不用等零件到就能维修
EP04: あのね | 我说你啊
EP04: ジョークですよ | 开玩笑啦
EP04: 助けてくださってありがとうございます　電索官 | 非常感谢你救了我 电索官
EP04: 知っていたんでしょう　補助官 | 你是知道的吧 辅助官
EP04: レクシー博士が怪しいって | 莱克希博士很可疑这件事
EP04: ええ　気づいていました | 对 我是发现了
EP04: リブから別荘のことも聞きましたし | 我从利伯那里听说了别墅的事
EP04: 庭の洗濯物が黒ずんでいました | 院子里晾着的床单上也有黑色污渍
EP04: マーヴィンを切断した際に　循環液が染み込んで落ちなかったのでしょう | 应该是切分马文时沾上的循环液没洗掉
EP04: 何より　ファーマンがあなたをさらった日の夜 | 最让我确信的是法曼绑架你的那天晚上
EP04: レクシー博士はパブの向かいのレストランにいた | 莱克希博士就在酒馆对面的餐厅里
EP04: 彼女はどういうわけか　元々ファーマンの誘拐を計画していたようですね | 不知道为什么 她似乎原本准备绑架法曼
EP04: 博士はなぜそうまでして　ファーマンを誘拐したがったのでしょうか | 博士为什么不惜如此 也想绑架法曼呢
EP04: それに　マーヴィンを使って監禁するのも不自然です | 而且 让马文来监禁他也很奇怪
EP04: 博士はあなたに何も話さなかったのですか | 博士什么都没告诉你吗
EP04: 君を助けるのに必死で | 我光顾着救你了
EP04: ファーマンにしてもそうです | 法曼也很奇怪
EP04: 彼はどうして　私をこのポッドに | 他为什么要把我放进分析舱里
EP04: 多分　君を改造するためだと思う | 大概 是为了改造你吧
EP04: 彼は元々レクシー博士を失墜させたいと考えていた | 他本就想让莱克希博士声名扫地
EP04: 君を暴走させることで　彼女の名誉を傷つけたかったんじゃないかな | 他是想通过让你失控 来损害博士的名誉吧
EP04: 彼は　博士の失墜を望んでいたわけではないはずです | 他所求的应该并非是让博士声名扫地
EP04: 電索の際に　あなたもおっしゃっていたでしょう | 电索的时候 你也曾说过的
EP04: ファーマンはなんらかの責任感から行動していると | 法曼是基于某种责任感进行的作案
EP04: 説明が足りなかった | 是我没说清楚
EP04: 「博士を失墜させる」という責任感だ | 是「让博士声名扫地」的责任感
EP04: 彼は人格に問題を抱えている | 他有心理问题
EP04: だからあの時君も　精神分析に回そうと言ったんじゃないの | 所以那时候 你才要求对他进行精神分析的不是吗
EP04: ごめん　トトキ課長から電話が | 抱歉 十时科长来电话了
EP04: すぐ戻るから　安静にしていて | 我马上回来 你先休息会
EP04: 電索官　本当に電話が… | 电索官 真的有电话…
EP04: つまり　RFモデルの暴走は２体とも　カーター博士の改造によるものだったと | 你是说 两台RF型失控都是因为卡特博士进行了改造
EP04: 彼女はひそかに　人間を襲わせるための研究をしていました | 她一直秘密地进行着以攻击人类为目的的研究
EP04: スティーブとマーヴィンは　実験の一環として改造したそうです | 史蒂夫和马文大概是作为实验的一环被她改造了
EP04: ハロルドはどうなんだ | 哈罗德呢
EP04: 検査を行いましたが　問題はありません | 已经检查过了 没有问题
EP04: 今後　ノワエ社はRFモデルの安全性を改めて保証できるのかね | 今后 诺华耶公司能继续为RF型的安全性做担保吗
EP04: はい | 可以
EP04: 先日　再提出した企画書のとおり | 如前些天重新提交的企划书中所说
EP04: RFモデルは極めて安全なアミクスです | RF型是非常安全的AMICUS
EP04: 同じようなトラブルは二度と起こらないかと | 应当是不会发生第二次相同事故的
EP04: では期待しよう　アンガス室長 | 那就期待你之后的表现了 安格斯组长
EP04: はい | 好的
EP04: ヒエダ電索官　君もよくやってくれた | 冰枝电索官 你这次也表现得不错
EP04: 明日ペテルブルクに戻るのだったかね | 明天就要回圣彼得堡了是吗
EP04: ロンドンは楽しめたかな | 在伦敦过得还愉快吗
EP04: ええ　それはもう最高に | 很愉快 算是相当尽兴了
EP04: 電索官 | 电索官
EP04: レクシー博士の目的は　本当にさっき委員長におっしゃっていたことで全てなんですか | 莱克西博士的目的 真的就只有刚才对委员长说的那些了吗
EP04: 博士を電索したということですよね | 你应该对博士用电索了吧
EP04: 電索はできませんでした | 我并没能那么做
EP04: ファーマンの機憶が博士によって抹消されていたことはご存じだと思いますが | 我想你应该知道法曼的机忆已经被博士抹除了
EP04: 博士も自分自身の機憶を消していた | 博士的机忆也被她自己清除掉了
EP04: 今後は　僕がハロルドのメンテナンスを担当しますので | 今后 会由我来负责维护保养哈罗德的工作
EP04: どうかご安心ください | 还请你放心
EP04: 私はここで待っているよ | 我就在这等你
EP04: しかし… | 可是…
EP04: 気にしないで | 不用在意我
EP04: これを読んでいるから | 我可以读着书等
EP04: ダリヤさんとニコライさんが待っているんでしょ | 达莉亚和尼古拉还等着呢
EP04: 電索官 | 电索官
EP04: バイブリーでのやりとりを　覚えていらっしゃいますか | 在拜伯里的谈话 你还记得吗
EP04: あの時　私は自分の考えをまとめられず | 那时 我还没理清自己的想法
EP04: 実は今も　きちんとお伝えできる自信がないのですが | 就算是现在 我也不敢说能好好地传达清楚
EP04: それでも　話さなければ | 即便如此 还是不得不说
EP04: つまり… | 总之…
EP04: 私はあなたとこれからも一緒にやっていきたい | 从今往后我也想继续做你的搭档
EP04: けれど　私のアミクスとしての考え方が　それを妨げるかもしれません | 不过 我作为AMICUS的思维方式可能会成为阻碍
EP04: ですから　教えていただきたいのです | 所以 请告诉我
EP04: 私はどうすれば　あなたの望む「対等」になれますか | 我应该如何做 才能达到你所期望的「对等」呢
EP04: 君がそうやって考えてくれただけでも嬉しい | 仅仅是你能这么想就让我很开心了
EP04: でも　正直私もどうしたらいいのかわからない | 但是说实话 具体要怎么做我也不清楚
EP04: これまであんまり人と関わらないようにしてきたから | 一直以来我都在逃避与他人有过多的交往
EP04: 何より　君のアミクスとしての考え方を　本当の意味で知ってしまった | 更何况 如今我才真正理解 你作为AMICUS是如何思考的
EP04: でも… | 但是…
EP04: それでも… | 即便如此…
EP04: 他人を理解したいと思ったのは | 让我如此想要理解的人
EP04: 君が初めてなんだ | 你是第一个
EP04: これからもきっと　君に傷つけられると思う | 我想从今往后 免不了还会被你伤害
EP04: でも　なんとか歩み寄りたい | 但我还是想要设法多接近你一点
EP04: だから　君もできればそうしてくれないかな | 所以 你能不能也尽力配合我呢
EP04: 今はそれだけで十分だと　そう思ってる | 我想现在能够做到这些 就已经足够了
EP04: 「我々人間の魂とは　かくも不思議に出来上がっていて」 | 「人的灵魂本是如此精妙而不可思议的造物」
EP04: 「かくもかぼそい糸で繁栄に」 | 「又被一缕如此纤细的丝」
EP04: 「あるいは破滅に結び付けられているのです」 | 「牵起了繁盛 亦或是破灭」
EP04: 雨になりそう | 要下雨了
EP04: あなたに近づけるよう努力します　電索官 | 我会努力不断接近你的 电索官
EP04: #悔恨
EP04: #注：出自玛丽·雪莱的小说「弗兰肯斯坦」
EP04: #注：同样节选自「弗兰肯斯坦」
EP04: #敬爱规范
EP04: #尊重人类
EP04: #听从人类的命令
EP04: #绝对不能攻击人类
EP04: #是否要上传代码到服务器？
EP04: #上传中…
EP04: #已暂停
EP04: #一周后
EP04: #国际AI伦理委员会 伦敦本部
EP04: #诺华耶机器人公司员工故意伤害事件
EP04: OUT
